"projectID";"topic";"title"
"101060429";"HORIZON-CL6-2021-BIODIV-01-08";"Supporting the development of a coherent and resilient Trans-European Nature Network"
"101080144";"HORIZON-CL4-2021-DIGITAL-EMERGING-02-20";"Quantum sensing technologies for market uptake (IA)"
"101066781";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101064940";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101061163";"HORIZON-CL2-2021-HERITAGE-01-03";"Cultural and creative industries as a driver of innovation and competitiveness"
"101070165";"HORIZON-CL4-2021-DIGITAL-EMERGING-01-11";"Pushing the limit of robotics cognition (AI, Data and Robotics Partnership) (RIA)"
"101070455";"HORIZON-CL3-2021-CS-01-01";"Dynamic business continuity and recovery methodologies based on models and prediction for multi-level Cybersecurity"
"101080152";"HORIZON-CL4-2021-DIGITAL-EMERGING-02-16";"Basic Science for Quantum Technologies (RIA)"
"101079264";"HORIZON-WIDERA-2021-ACCESS-03-01";"Twinning"
"101065060";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101071179";"HORIZON-EIC-2021-PATHFINDERCHALLENGES-01-01";"Awareness Inside"
"101068121";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101072344";"HORIZON-MSCA-2021-DN-01-01";"MSCA Doctoral Networks 2021"
"101057253";"HORIZON-WIDERA-2021-ERA-01-44";"Societal trust in science, research and innovation"
"101067273";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101062808";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101074075";"HORIZON-CL3-2021-DRS-01-03";"Enhanced assessment of disaster risks, adaptive capabilities and scenario building based on available historical data and projections"
"101061154";"HORIZON-MSCA-2022-CITIZENS-01-01";"European Researchers' Night 2022-2023"
"101069287";"HORIZON-CL5-2021-D3-01-01";"Establish the grounds for a common European energy data space"
"101046946";"HORIZON-EIC-2021-PATHFINDEROPEN-01-01";"EIC Pathfinder Open 2021"
"101066346";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101046748";"HORIZON-EIC-2021-PATHFINDEROPEN-01-01";"EIC Pathfinder Open 2021"
"101059400";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101058293";"HORIZON-CL4-2021-RESILIENCE-01-14";"Development of more energy efficient electrically heated catalytic reactors (IA)"
"101070112";"HORIZON-CL4-2021-DIGITAL-EMERGING-01-31";"Functional electronics for green and circular economy (RIA)"
"101058583";"HORIZON-CL4-2021-RESILIENCE-01-07";"Building innovative value chains from raw materials to sustainable products (IA)"
"101063075";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101057344";"HORIZON-INFRA-2021-EOSC-01-05";"Enabling discovery and interoperability of federated research objects across scientific communities"
"101059190";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101070193";"HORIZON-CL4-2021-DIGITAL-EMERGING-01-32";"Support and coordination of the Quantum Technologies Flagship Initiative (CSA)"
"101059435";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101072977";"HORIZON-MSCA-2021-DN-01-01";"MSCA Doctoral Networks 2021"
"101046364";"HORIZON-EIC-2021-PATHFINDEROPEN-01-01";"EIC Pathfinder Open 2021"
"101062581";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101066588";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101066400";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101080173";"HORIZON-CL4-2021-DIGITAL-EMERGING-02-16";"Basic Science for Quantum Technologies (RIA)"
"101047160";"HORIZON-EIC-2021-PATHFINDEROPEN-01-01";"EIC Pathfinder Open 2021"
"101069474";"HORIZON-CL5-2021-D2-01-09";"Methane cracking to usable hydrogen and carbon"
"101058449";"HORIZON-CL4-2021-RESILIENCE-01-11";"Safe- and sustainable-by-design polymeric materials (RIA)"
"101072515";"HORIZON-MSCA-2021-DN-01-01";"MSCA Doctoral Networks 2021"
"101066174";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101059865";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
